Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid,Local_Trips,Interstate_Trips,Long_Distance_Trips
2022,9,Wyoming,160.0,1067.0,132.0,0.0,132.0,209.0,68991317.0,6289200.0,1338306.0
2022,10,California,2281.0,54438.0,4310.0,98.0,4376.0,6316.0,3680531962.0,272858193.0,41402015.0
2022,10,Florida,1680.0,44140.0,3723.0,65.0,3788.0,4815.0,2383038977.0,134516195.0,24373324.0
2022,10,Georgia,815.0,19070.0,1007.0,33.0,1066.0,1463.0,1165876683.0,93630998.0,15924112.0
2022,10,New York,2579.0,35335.0,3047.0,24.0,3069.0,4686.0,2688088248.0,133148778.0,20998536.0
2022,10,North Carolina,1191.0,20968.0,1546.0,57.0,1714.0,2478.0,1233974372.0,86390774.0,15367069.0
2022,10,Wyoming,186.0,1398.0,154.0,0.0,154.0,227.0,70602963.0,7030745.0,1363845.0
2022,11,California,2406.0,49238.0,4830.0,369.0,5199.0,6660.0,3760323697.0,274958328.0,38559042.0
2022,11,Florida,1068.0,34968.0,2927.0,145.0,3082.0,3753.0,2377962333.0,132156674.0,21945308.0
2022,11,Georgia,731.0,15198.0,891.0,69.0,1071.0,1489.0,1178681210.0,94578266.0,15105786.0
2022,11,New York,2384.0,27556.0,2776.0,182.0,3170.0,4858.0,2627205417.0,124026948.0,19051484.0
2022,11,North Carolina,666.0,17038.0,1289.0,166.0,1566.0,2001.0,1223176384.0,87529332.0,14098196.0
2022,11,Wyoming,150.0,1239.0,136.0,0.0,151.0,247.0,69980513.0,7637643.0,1349472.0
2022,12,California,3827.0,53720.0,6100.0,676.0,6790.0,8959.0,4063251117.0,292417792.0,39842121.0
2022,12,Florida,1388.0,37118.0,3465.0,233.0,3697.0,4456.0,2515749024.0,143347273.0,24073397.0
2022,12,Georgia,852.0,16542.0,1115.0,58.0,1207.0,1812.0,1236513094.0,101120381.0,15967774.0
2022,12,New York,2522.0,31581.0,2940.0,561.0,3835.0,5997.0,2814468779.0,130330995.0,18916707.0
2022,12,North Carolina,820.0,18290.0,1442.0,244.0,1891.0,2481.0,1272069914.0,94162389.0,15043833.0
2022,12,Wyoming,128.0,1034.0,120.0,0.0,126.0,177.0,75319427.0,8481357.0,1530966.0
2023,1,California,3303.0,62946.0,6516.0,289.0,6803.0,8829.0,3991292798.0,282666170.0,42236879.0
2023,1,Florida,2170.0,48198.0,4714.0,306.0,5410.0,6681.0,2403260371.0,134635799.0,24372718.0
2023,1,Georgia,1052.0,20418.0,1623.0,35.0,1704.0,2487.0,1179053104.0,95606521.0,16664997.0
2023,1,New York,2808.0,35896.0,3844.0,313.0,4172.0,5893.0,2792468914.0,130490762.0,22448572.0
2023,1,North Carolina,1560.0,22426.0,2180.0,98.0,2307.0,3301.0,1242971738.0,88718148.0,16190137.0
2023,1,Wyoming,208.0,1379.0,152.0,0.0,154.0,243.0,75454121.0,8005644.0,1561014.0
2023,2,California,1972.0,49214.0,4506.0,77.0,4550.0,6007.0,3894739638.0,284168526.0,44885125.0
2023,2,Florida,1460.0,36170.0,3464.0,65.0,3529.0,4355.0,2278285721.0,126432762.0,22796093.0
2023,2,Georgia,792.0,15174.0,986.0,10.0,1014.0,1520.0,1111245706.0,89311416.0,15769525.0
2023,2,New York,2101.0,27170.0,2494.0,48.0,2534.0,3828.0,2691431862.0,126654583.0,20077401.0
2023,2,North Carolina,871.0,16956.0,1491.0,18.0,1522.0,2026.0,1185032649.0,84212073.0,14241101.0
2023,2,Wyoming,160.0,995.0,133.0,0.0,133.0,192.0,74703195.0,7606978.0,1469283.0
2023,3,California,1923.0,47094.0,4557.0,56.0,4611.0,5730.0,4254106635.0,304141408.0,47090149.0
2023,3,Florida,1048.0,35562.0,2894.0,75.0,3173.0,3831.0,2563252914.0,143247180.0,25584791.0
2023,3,Georgia,669.0,14792.0,878.0,5.0,886.0,1189.0,1252096246.0,98484187.0,16253481.0
2023,3,New York,1999.0,27039.0,2336.0,12.0,2352.0,3422.0,2996418242.0,138196955.0,21024378.0
2023,3,North Carolina,847.0,16756.0,1318.0,12.0,1332.0,1687.0,1344313091.0,93866185.0,14878255.0
