Year,Month,State_Postal_Code,Local_Trips,Interstate_Trips,Long_Distance_Trips
2023,9,GA,1238761300.0,97615170.0,17740624.0
2023,9,NC,1311657780.0,96994674.0,15538249.0
2023,9,NY,2840402511.0,137688788.0,18581742.0
2023,9,WY,88858951.0,9380029.0,1784894.0
2023,10,CA,4394359290.0,310377760.0,49285139.0
2023,10,FL,2549676286.0,139956747.0,27547354.0
2023,10,GA,1247016715.0,99231682.0,17825203.0
2023,10,NC,1334301990.0,97520706.0,16131085.0
2023,10,NY,2975841399.0,140219701.0,20794550.0
2023,10,WY,86790109.0,8820042.0,1611928.0
2023,11,CA,4175821035.0,297465158.0,46070255.0
2023,11,FL,2518320381.0,138280516.0,27507365.0
2023,11,GA,1217953068.0,96489154.0,17337705.0
2023,11,NC,1289887965.0,94354477.0,15169554.0
2023,11,NY,2857564623.0,133358360.0,19843140.0
2023,11,WY,82065583.0,8270205.0,1582850.0
2023,12,CA,4255005082.0,307568834.0,47261621.0
2023,12,FL,2570165984.0,142770261.0,26685482.0
2023,12,GA,1232371310.0,96882930.0,16598134.0
2023,12,NC,1297151297.0,94622497.0,14966101.0
2023,12,NY,2930604042.0,139928538.0,20329318.0
2023,12,WY,84705268.0,8580763.0,1559953.0
